Stock,Price,Volume,Marke Cap,Beta,PE Ratio,EPS
AARTIIND.NS,1083.00,791677,390870000000,0.63,59.65,18.07
ABBOTINDIA.NS,17239.00,13295,362155000000,-0.07,50.4,337.75
ACC.NS,2261.00,443238,418874000000,0.64,20.42,109.11
ADANIENT.NS,1839.80,2205958,2037000000000,0.95,200.8,9.22
ADANIPORTS.NS,761.75,4693246,1523000000000,0.87,29.74,25.08
ABFRL.NS,306.35,4375534,295051000000,0.25,N/A,-5.05
APLLTD.NS,785.00,396858,155265000000,0.74,17.7,44.62
ALKEM.NS,3471.00,129362,417282000000,0.27,24.5,142.46
AMARAJABAT.NS,645.00,857323,110635000000,0.72,16.98,38.14
AMBUJACEM.NS,381.95,2924725,796973000000,0.43,23.1,16.22
APOLLOHOSP.NS,4615.00,887089,649944000000,0.47,62.13,72.75
APOLLOTYRE.NS,235.00,2665894,148264000000,1.1,14.34,16.27
ASHOKLEY.NS,135.40,13758602,412844000000,1.03,N/A,-0.04
ASIANPAINT.NS,3370.00,1237256,3150000000000,0.39,96.6,33.94
ASTRAL.NS,2431.15,372044,479737000000,0.49,84.6,28.22
AUBANK.NS,1263.50,1279280,396039000000,0.89,35.05,36.01
AUROPHARMA.NS,668.80,2240424,392521000000,0.73,7.53,88.92
AXISBANK.NS,725.20,11498577,2238000000000,1.38,22.42,32.53
BAJAJ-AUTO.NS,3400.95,396983,992529000000,0.95,15.31,224.08
BAJFINANCE.NS,7850.00,1118258,4570000000000,1.26,92.29,82
BAJAJFINSV.NS,18240.00,256547,2880000000000,1.32,68.17,265.4
BALKRISIND.NS,2500.00,297571,484462000000,0.68,33.96,73.8
BANDHANBNK.NS,292.00,8415052,488782000000,1.73,N/A,-11.79
BANKBARODA.NS,92.25,40945035,503472000000,0.92,12.4,7.72
BATAINDIA.NS,1980.00,505741,261547000000,0.6,"1,108.51",1.83
BERGEPAINT.NS,758.80,804686,727520000000,0.25,86.25,8.68
BEL.NS,209.15,6064544,507298000000,0.39,22.13,9.41
BHARATFORG.NS,757.00,1737589,353661000000,1.35,83.36,9.11
BPCL.NS,396.00,4872983,854685000000,1.11,4.52,87.09
BHARTIARTL.NS,714.00,9513907,4144000000000,0.48,127.25,5.54
BHEL.NS,60.75,36368771,215717000000,1.17,N/A,-5.02
BIOCON.NS,353.30,2839173,450373000000,0.59,67.97,5.39
BOSCHLTD.NS,17240.00,44564,515798000000,0.64,38.57,440.68
BRITANNIA.NS,3620.00,279289,863512000000,0.41,54.19,66.15
CADILAHC.NS,421.00,2149379,434530000000,0.63,9.06,46.84
CANFINHOME.NS,617.00,854011,81836000000,0.29,17.52,35.07
CANBK.NS,222.30,15308517,414347000000,1.07,8.26,27.64
CHOLAFIN.NS,610.00,2579835,502453000000,1.04,31.56,19.39
CIPLA.NS,900.05,2322973,722700000000,0.41,27.94,32.05
CUB.NS,144.00,2226847,106432000000,0.72,16.87,8.53
COALINDIA.NS,161.00,12188144,1010000000000,0.51,7.33,22.36
COFORGE.NS,5420.00,380363,329259000000,0.62,63.85,84.7
COLPAL.NS,1471.40,487917,393686000000,0.23,36.96,39.17
CONCOR.NS,678.00,1281984,408958000000,0.84,52.91,12.69
COROMANDEL.NS,780.00,421450,235993000000,0.51,17.06,45.8
CROMPTON.NS,437.00,1521727,273569000000,0.38,42.17,10.33
